ACCIDENT_NO,SEVERITY,SPEED_ZONE,Region,Order1,Order2,Order3,Order
T20130014026,Minor,70 km/hr,Metro,1,,,1
T20130014027,Serious,50 km/hr,Metro,,2,,2
T20130014028,Serious,60 km/hr,Metro,,2,,2
T20130014032,Minor,70 km/hr,Metro,1,,,1
T20130014033,Minor,90 km/hr,Metro,1,,,1
T20130014034,Minor,60 km/hr,Metro,1,,,1
T20130014035,Minor,50 km/hr,Metro,1,,,1
T20130014037,Serious,100 km/hr,Country,,2,,2
T20130014039,Minor,60 km/hr,Metro,1,,,1
T20130014042,Minor,100 km/hr,Metro,1,,,1
T20130014044,Minor,80 km/hr,Metro,1,,,1
T20130013894,Minor,60 km/hr,Metro,1,,,1
T20130013901,Minor,80 km/hr,Metro,1,,,1
T20130013902,Serious,50 km/hr,Metro,,2,,2
T20130013904,Minor,40 km/hr,Metro,1,,,1
T20130013905,Minor,50 km/hr,Metro,1,,,1
T20130013909,Minor,60 km/hr,Metro,1,,,1
T20130013912,Minor,80 km/hr,Metro,1,,,1
T20130013918,Serious,60 km/hr,Metro,,2,,2
T20130013919,Minor,80 km/hr,Metro,1,,,1
T20130013923,Minor,80 km/hr,Metro,1,,,1
T20130013927,Minor,60 km/hr,Metro,1,,,1
T20130013929,Fatal,80 km/hr,Metro,,,3,3
T20130013930,Minor,100 km/hr,Metro,1,,,1
T20130013931,Serious,60 km/hr,Metro,,2,,2
T20130013937,Minor,50 km/hr,Metro,1,,,1
T20130013939,Minor,40 km/hr,Metro,1,,,1
T20130013941,Minor,60 km/hr,Metro,1,,,1
T20130013943,Minor,60 km/hr,Metro,1,,,1
T20130013946,Serious,40 km/hr,Metro,,2,,2
T20130013948,Minor,60 km/hr,Country,1,,,1
T20130013953,Minor,70 km/hr,Metro,1,,,1
T20130013955,Minor,100 km/hr,Country,1,,,1
T20130013957,Fatal,60 km/hr,Metro,,,3,3
T20130013958,Serious,60 km/hr,Country,,2,,2
T20130013963,Minor,60 km/hr,Metro,1,,,1
T20130013965,Serious,110 km/hr,Country,,2,,2
T20130013966,Minor,60 km/hr,Metro,1,,,1
T20130013971,Serious,100 km/hr,Country,,2,,2
T20130013973,Serious,70 km/hr,Metro,,2,,2
T20130013975,Minor,100 km/hr,Metro,1,,,1
T20130013978,Minor,60 km/hr,Metro,1,,,1
T20130013979,Serious,60 km/hr,Metro,,2,,2
T20130013980,Minor,50 km/hr,Metro,1,,,1
T20130013983,Minor,100 km/hr,Country,1,,,1
T20130013985,Minor,100 km/hr,Country,1,,,1
T20130013986,Minor,100 km/hr,Country,1,,,1
T20130013991,Minor,60 km/hr,Metro,1,,,1
T20130013992,Minor,70 km/hr,Metro,1,,,1
T20130013993,Minor,60 km/hr,Metro,1,,,1
T20130013997,Minor,50 km/hr,Country,1,,,1
T20130014003,Serious,60 km/hr,Metro,,2,,2
T20130014004,Serious,60 km/hr,Metro,,2,,2
T20130014005,Serious,80 km/hr,Metro,,2,,2
T20130014009,Serious,80 km/hr,Metro,,2,,2
T20130014011,Serious,Not known,Metro,,2,,2
T20130014012,Serious,100 km/hr,Metro,,2,,2
T20130014013,Minor,60 km/hr,Metro,1,,,1
T20130014015,Serious,100 km/hr,Country,,2,,2
T20130014017,Minor,40 km/hr,Metro,1,,,1
T20130014018,Serious,60 km/hr,Metro,,2,,2
T20130014020,Minor,80 km/hr,Country,1,,,1
T20130014021,Minor,50 km/hr,Metro,1,,,1
T20130013778,Minor,40 km/hr,Metro,1,,,1
T20130013779,Minor,60 km/hr,Metro,1,,,1
T20130013781,Minor,40 km/hr,Metro,1,,,1
T20130013782,Serious,50 km/hr,Metro,,2,,2
T20130013783,Minor,50 km/hr,Metro,1,,,1
T20130013785,Minor,100 km/hr,Country,1,,,1
T20130013793,Serious,80 km/hr,Metro,,2,,2
T20130013798,Minor,60 km/hr,Metro,1,,,1
T20130013800,Minor,50 km/hr,Metro,1,,,1
T20130013805,Minor,110 km/hr,Country,1,,,1
T20130013807,Minor,50 km/hr,Metro,1,,,1
T20130013810,Minor,60 km/hr,Metro,1,,,1
T20130013815,Serious,60 km/hr,Metro,,2,,2
T20130013817,Serious,50 km/hr,Metro,,2,,2
T20130013818,Minor,60 km/hr,Metro,1,,,1
T20130013820,Serious,80 km/hr,Metro,,2,,2
T20130013825,Serious,60 km/hr,Metro,,2,,2
T20130013826,Fatal,100 km/hr,Metro,,,3,3
T20130013827,Minor,100 km/hr,Country,1,,,1
T20130013828,Minor,80 km/hr,Country,1,,,1
T20130013829,Serious,80 km/hr,Metro,,2,,2
T20130013830,Serious,60 km/hr,Metro,,2,,2
T20130013831,Serious,60 km/hr,Metro,,2,,2
T20130013832,Minor,70 km/hr,Country,1,,,1
T20130013835,Serious,60 km/hr,Metro,,2,,2
T20130013836,Minor,50 km/hr,Metro,1,,,1
T20130014222,Minor,80 km/hr,Metro,1,,,1
T20130014225,Serious,60 km/hr,Metro,,2,,2
T20130014227,Fatal,100 km/hr,Country,,,3,3
T20130014228,Minor,60 km/hr,Country,1,,,1
T20130014230,Minor,60 km/hr,Country,1,,,1
T20130014232,Minor,80 km/hr,Metro,1,,,1
T20130014235,Minor,100 km/hr,Country,1,,,1
T20130014236,Serious,100 km/hr,Metro,,2,,2
T20130014237,Minor,70 km/hr,Country,1,,,1
T20130014241,Serious,60 km/hr,Metro,,2,,2
T20130014243,Serious,60 km/hr,Metro,,2,,2
T20130014244,Minor,50 km/hr,Metro,1,,,1
T20130014245,Minor,60 km/hr,Metro,1,,,1
T20130014045,Minor,100 km/hr,Country,1,,,1
T20130014046,Minor,60 km/hr,Metro,1,,,1
T20130014047,Minor,60 km/hr,Metro,1,,,1
T20130014051,Minor,100 km/hr,Metro,1,,,1
T20130014053,Minor,50 km/hr,Country,1,,,1
T20130014055,Minor,60 km/hr,Metro,1,,,1
T20130014056,Minor,100 km/hr,Country,1,,,1
T20130014057,Minor,80 km/hr,Metro,1,,,1
T20130014058,Minor,60 km/hr,Metro,1,,,1
T20130014059,Serious,100 km/hr,Metro,,2,,2
T20130014063,Serious,70 km/hr,Metro,,2,,2
T20130014064,Minor,80 km/hr,Metro,1,,,1
T20130014065,Serious,60 km/hr,Metro,,2,,2
T20130014069,Serious,60 km/hr,Metro,,2,,2
T20130014071,Minor,60 km/hr,Metro,1,,,1
T20130014075,Serious,50 km/hr,Metro,,2,,2
T20130014077,Serious,60 km/hr,Metro,,2,,2
T20130014078,Serious,80 km/hr,Metro,,2,,2
T20130014083,Serious,60 km/hr,Metro,,2,,2
T20130014084,Serious,Not known,Metro,,2,,2
T20130014085,Minor,60 km/hr,Country,1,,,1
T20130014095,Minor,50 km/hr,Metro,1,,,1
T20130014096,Fatal,100 km/hr,Country,,,3,3
T20130014101,Minor,60 km/hr,Metro,1,,,1
T20130014103,Minor,60 km/hr,Metro,1,,,1
T20130014104,Minor,60 km/hr,Metro,1,,,1
T20130014106,Minor,50 km/hr,Country,1,,,1
T20130014108,Serious,60 km/hr,Metro,,2,,2
T20130014111,Minor,80 km/hr,Metro,1,,,1
T20130014112,Minor,50 km/hr,Metro,1,,,1
T20130014114,Minor,80 km/hr,Country,1,,,1
T20130014115,Minor,100 km/hr,Country,1,,,1
T20130014118,Minor,100 km/hr,Country,1,,,1
T20130014119,Minor,60 km/hr,Country,1,,,1
T20130014120,Minor,60 km/hr,Metro,1,,,1
T20130014121,Minor,80 km/hr,Country,1,,,1
T20130014122,Minor,60 km/hr,Country,1,,,1
T20130014123,Serious,60 km/hr,Country,,2,,2
T20130014125,Minor,60 km/hr,Metro,1,,,1
T20130014128,Minor,40 km/hr,Metro,1,,,1
T20130014129,Minor,50 km/hr,Metro,1,,,1
T20130014131,Minor,80 km/hr,Country,1,,,1
T20130014136,Minor,70 km/hr,Metro,1,,,1
T20130014138,Minor,80 km/hr,Metro,1,,,1
T20130014139,Serious,70 km/hr,Metro,,2,,2
T20130014143,Minor,60 km/hr,Metro,1,,,1
T20130014147,Serious,100 km/hr,Metro,,2,,2
T20130014149,Minor,80 km/hr,Country,1,,,1
T20130014154,Minor,50 km/hr,Metro,1,,,1
T20130014155,Minor,50 km/hr,Metro,1,,,1
T20130014157,Serious,100 km/hr,Country,,2,,2
T20130014168,Minor,80 km/hr,Metro,1,,,1
T20130014169,Minor,60 km/hr,Metro,1,,,1
T20130014171,Serious,60 km/hr,Metro,,2,,2
T20130014172,Minor,100 km/hr,Country,1,,,1
T20130014174,Serious,80 km/hr,Metro,,2,,2
T20130014176,Minor,40 km/hr,Metro,1,,,1
T20130014177,Minor,50 km/hr,Country,1,,,1
T20130014182,Serious,50 km/hr,Metro,,2,,2
T20130014184,Minor,70 km/hr,Metro,1,,,1
T20130014186,Minor,50 km/hr,Country,1,,,1
T20130014187,Serious,80 km/hr,Metro,,2,,2
T20130014188,Minor,40 km/hr,Metro,1,,,1
T20130014189,Serious,100 km/hr,Country,,2,,2
T20130014191,Minor,60 km/hr,Metro,1,,,1
T20130014192,Minor,70 km/hr,Metro,1,,,1
T20130014201,Minor,50 km/hr,Metro,1,,,1
T20130014206,Serious,60 km/hr,Metro,,2,,2
T20130014208,Serious,60 km/hr,Metro,,2,,2
T20130014210,Serious,Not known,Country,,2,,2
T20130014212,Minor,80 km/hr,Country,1,,,1
T20130014213,Serious,100 km/hr,Country,,2,,2
T20130014214,Minor,Not known,Metro,1,,,1
T20130014215,Minor,50 km/hr,Metro,1,,,1
T20130014216,Serious,70 km/hr,Country,,2,,2
T20130014218,Minor,50 km/hr,Metro,1,,,1
T20130014219,Serious,80 km/hr,Metro,,2,,2
T20130014220,Minor,50 km/hr,Metro,1,,,1
T20130014309,Serious,50 km/hr,Metro,,2,,2
T20130014312,Minor,100 km/hr,Country,1,,,1
T20130014315,Serious,80 km/hr,Metro,,2,,2
T20130014317,Minor,100 km/hr,Metro,1,,,1
T20130014319,Minor,60 km/hr,Country,1,,,1
T20130014320,Serious,100 km/hr,Metro,,2,,2
T20130014321,Minor,70 km/hr,Metro,1,,,1
T20130014322,Minor,50 km/hr,Country,1,,,1
T20130014323,Minor,70 km/hr,Metro,1,,,1
T20130014324,Minor,60 km/hr,Metro,1,,,1
T20130014325,Fatal,100 km/hr,Country,,,3,3
T20130014328,Minor,40 km/hr,Metro,1,,,1
T20130014329,Serious,60 km/hr,Country,,2,,2
T20130014430,Minor,Not known,Metro,1,,,1
T20130014431,Minor,60 km/hr,Metro,1,,,1
T20130014435,Serious,90 km/hr,Metro,,2,,2
T20130014437,Serious,50 km/hr,Metro,,2,,2
T20130014438,Minor,100 km/hr,Country,1,,,1
T20130014443,Minor,60 km/hr,Metro,1,,,1
T20130014445,Minor,Not known,Metro,1,,,1
T20130014449,Serious,100 km/hr,Country,,2,,2
T20130014453,Minor,60 km/hr,Country,1,,,1
T20130014455,Minor,60 km/hr,Metro,1,,,1
T20130014458,Minor,60 km/hr,Metro,1,,,1
T20130014462,Minor,50 km/hr,Country,1,,,1
T20130014466,Minor,100 km/hr,Country,1,,,1
T20130014330,Minor,50 km/hr,Metro,1,,,1
T20130014334,Minor,80 km/hr,Metro,1,,,1
T20130014335,Minor,60 km/hr,Metro,1,,,1
T20130014337,Serious,50 km/hr,Country,,2,,2
T20130014338,Minor,100 km/hr,Metro,1,,,1
T20130014340,Minor,80 km/hr,Metro,1,,,1
T20130014341,Serious,50 km/hr,Metro,,2,,2
T20130014343,Serious,100 km/hr,Country,,2,,2
T20130014344,Minor,60 km/hr,Metro,1,,,1
T20130014345,Minor,40 km/hr,Metro,1,,,1
T20130014347,Minor,100 km/hr,Metro,1,,,1
T20130014349,Minor,70 km/hr,Metro,1,,,1
T20130014350,Serious,60 km/hr,Metro,,2,,2
T20130014351,Minor,60 km/hr,Metro,1,,,1
T20130014352,Minor,100 km/hr,Country,1,,,1
T20130014353,Minor,60 km/hr,Metro,1,,,1
T20130014354,Serious,60 km/hr,Metro,,2,,2
T20130014355,Serious,90 km/hr,Country,,2,,2
T20130014356,Minor,50 km/hr,Country,1,,,1
T20130014357,Minor,Off road,Metro,1,,,1
T20130014358,Minor,60 km/hr,Country,1,,,1
T20130014359,Serious,100 km/hr,Country,,2,,2
T20130014360,Minor,60 km/hr,Metro,1,,,1
T20130014365,Minor,60 km/hr,Metro,1,,,1
T20130014368,Minor,100 km/hr,Country,1,,,1
T20130014370,Minor,80 km/hr,Metro,1,,,1
T20130014371,Minor,60 km/hr,Country,1,,,1
T20130014373,Minor,50 km/hr,Metro,1,,,1
T20130014376,Minor,50 km/hr,Metro,1,,,1
T20130014381,Serious,60 km/hr,Country,,2,,2
T20130014382,Minor,60 km/hr,Metro,1,,,1
T20130014384,Serious,100 km/hr,Metro,,2,,2
T20130014385,Serious,100 km/hr,Metro,,2,,2
T20130014387,Minor,40 km/hr,Metro,1,,,1
T20130014389,Serious,80 km/hr,Metro,,2,,2
T20130014392,Minor,100 km/hr,Country,1,,,1
T20130014397,Serious,60 km/hr,Metro,,2,,2
T20130014401,Fatal,80 km/hr,Metro,,,3,3
T20130014404,Minor,80 km/hr,Country,1,,,1
T20130014406,Minor,80 km/hr,Metro,1,,,1
T20130014408,Minor,Not known,Metro,1,,,1
T20130014410,Minor,50 km/hr,Metro,1,,,1
T20130014412,Minor,60 km/hr,Country,1,,,1
T20130014415,Minor,40 km/hr,Metro,1,,,1
T20130014416,Minor,40 km/hr,Metro,1,,,1
T20130014417,Serious,100 km/hr,Country,,2,,2
T20130014420,Minor,Not known,Country,1,,,1
T20130014422,Serious,50 km/hr,Country,,2,,2
T20130014423,Serious,70 km/hr,Metro,,2,,2
T20130014426,Minor,50 km/hr,Metro,1,,,1
T20130014427,Minor,60 km/hr,Country,1,,,1
T20130014428,Serious,70 km/hr,Metro,,2,,2
T20130014246,Minor,80 km/hr,Metro,1,,,1
T20130014247,Serious,60 km/hr,Metro,,2,,2
T20130014250,Minor,100 km/hr,Country,1,,,1
T20130014251,Serious,50 km/hr,Metro,,2,,2
T20130014252,Minor,60 km/hr,Metro,1,,,1
T20130014253,Serious,60 km/hr,Metro,,2,,2
T20130014262,Serious,70 km/hr,Metro,,2,,2
T20130014264,Serious,80 km/hr,Country,,2,,2
T20130014266,Minor,100 km/hr,Country,1,,,1
T20130014269,Serious,60 km/hr,Metro,,2,,2
T20130014270,Minor,100 km/hr,Country,1,,,1
T20130014272,Minor,60 km/hr,Metro,1,,,1
T20130014274,Minor,60 km/hr,Metro,1,,,1
T20130014275,Minor,70 km/hr,Metro,1,,,1
T20130014277,Minor,60 km/hr,Metro,1,,,1
T20130014278,Serious,50 km/hr,Metro,,2,,2
T20130014284,Serious,60 km/hr,Metro,,2,,2
T20130014285,Minor,60 km/hr,Metro,1,,,1
T20130014286,Minor,60 km/hr,Metro,1,,,1
T20130014289,Serious,100 km/hr,Country,,2,,2
T20130014294,Minor,60 km/hr,Metro,1,,,1
T20130014299,Minor,60 km/hr,Metro,1,,,1
T20130014303,Minor,70 km/hr,Metro,1,,,1
T20130014305,Minor,60 km/hr,Metro,1,,,1
T20130014307,Serious,60 km/hr,Metro,,2,,2
T20130014308,Minor,Not known,Metro,1,,,1
T20130014653,Minor,60 km/hr,Metro,1,,,1
T20130014658,Serious,50 km/hr,Metro,,2,,2
T20130014659,Serious,50 km/hr,Metro,,2,,2
T20130014660,Minor,Not known,Metro,1,,,1
T20130014662,Minor,50 km/hr,Metro,1,,,1
T20130014664,Minor,60 km/hr,Metro,1,,,1
T20130014665,Serious,70 km/hr,Metro,,2,,2
T20130014666,Minor,60 km/hr,Metro,1,,,1
T20130014669,Minor,70 km/hr,Metro,1,,,1
T20130014670,Serious,50 km/hr,Metro,,2,,2
T20130014677,Serious,100 km/hr,Metro,,2,,2
T20130014679,Minor,70 km/hr,Metro,1,,,1
T20130014680,Minor,Not known,Metro,1,,,1
T20130014467,Fatal,100 km/hr,Country,,,3,3
T20130014469,Minor,100 km/hr,Country,1,,,1
T20130014472,Minor,60 km/hr,Metro,1,,,1
T20130014473,Serious,60 km/hr,Country,,2,,2
T20130014477,Serious,70 km/hr,Metro,,2,,2
T20130014480,Minor,100 km/hr,Metro,1,,,1
T20130014481,Minor,50 km/hr,Metro,1,,,1
T20130014484,Minor,40 km/hr,Metro,1,,,1
T20130014489,Serious,60 km/hr,Metro,,2,,2
T20130014492,Serious,60 km/hr,Metro,,2,,2
T20130014493,Minor,80 km/hr,Metro,1,,,1
T20130014496,Serious,100 km/hr,Country,,2,,2
T20130014498,Minor,70 km/hr,Metro,1,,,1
T20130014499,Minor,80 km/hr,Country,1,,,1
T20130014500,Minor,80 km/hr,Metro,1,,,1
T20130014502,Minor,100 km/hr,Country,1,,,1
T20130014503,Serious,50 km/hr,Country,,2,,2
T20130014504,Minor,60 km/hr,Metro,1,,,1
T20130014505,Minor,40 km/hr,Metro,1,,,1
T20130014507,Minor,80 km/hr,Metro,1,,,1
T20130014508,Minor,60 km/hr,Metro,1,,,1
T20130014515,Minor,80 km/hr,Metro,1,,,1
T20130014518,Minor,60 km/hr,Metro,1,,,1
T20130014519,Minor,70 km/hr,Metro,1,,,1
T20130014521,Minor,100 km/hr,Metro,1,,,1
T20130014522,Minor,60 km/hr,Metro,1,,,1
T20130014530,Serious,100 km/hr,Country,,2,,2
T20130014531,Minor,60 km/hr,Country,1,,,1
T20130014533,Minor,50 km/hr,Metro,1,,,1
T20130014536,Serious,60 km/hr,Metro,,2,,2
T20130014537,Minor,60 km/hr,Metro,1,,,1
T20130014540,Minor,100 km/hr,Country,1,,,1
T20130014541,Minor,60 km/hr,Metro,1,,,1
T20130014543,Minor,100 km/hr,Country,1,,,1
T20130014545,Serious,60 km/hr,Metro,,2,,2
T20130014546,Minor,60 km/hr,Metro,1,,,1
T20130014547,Serious,60 km/hr,Metro,,2,,2
T20130014548,Serious,60 km/hr,Metro,,2,,2
T20130014550,Minor,60 km/hr,Country,1,,,1
T20130014551,Minor,70 km/hr,Metro,1,,,1
T20130014558,Minor,50 km/hr,Metro,1,,,1
T20130014564,Minor,70 km/hr,Country,1,,,1
T20130014566,Minor,60 km/hr,Metro,1,,,1
T20130014568,Minor,60 km/hr,Metro,1,,,1
T20130014570,Fatal,100 km/hr,Country,,,3,3
T20130014573,Serious,80 km/hr,Metro,,2,,2
T20130014574,Minor,100 km/hr,Country,1,,,1
T20130014576,Serious,60 km/hr,Metro,,2,,2
T20130014579,Minor,Off road,Metro,1,,,1
T20130014582,Serious,80 km/hr,Metro,,2,,2
T20130014583,Minor,40 km/hr,Metro,1,,,1
T20130014584,Serious,60 km/hr,Country,,2,,2
T20130014585,Minor,70 km/hr,Metro,1,,,1
T20130014587,Serious,70 km/hr,Metro,,2,,2
T20130014588,Serious,60 km/hr,Country,,2,,2
T20130014594,Serious,80 km/hr,Metro,,2,,2
T20130014600,Fatal,80 km/hr,Metro,,,3,3
T20130014601,Minor,60 km/hr,Metro,1,,,1
T20130014602,Minor,50 km/hr,Country,1,,,1
T20130014603,Minor,100 km/hr,Country,1,,,1
T20130014607,Serious,50 km/hr,Metro,,2,,2
T20130014608,Serious,100 km/hr,Metro,,2,,2
T20130014612,Minor,80 km/hr,Country,1,,,1
T20130014614,Serious,50 km/hr,Country,,2,,2
T20130014618,Minor,60 km/hr,Metro,1,,,1
T20130014620,Minor,100 km/hr,Country,1,,,1
T20130014626,Minor,60 km/hr,Metro,1,,,1
T20130014627,Serious,60 km/hr,Metro,,2,,2
T20130014629,Minor,60 km/hr,Metro,1,,,1
T20130014630,Serious,60 km/hr,Metro,,2,,2
T20130014631,Minor,70 km/hr,Country,1,,,1
T20130014633,Minor,100 km/hr,Metro,1,,,1
T20130014635,Minor,80 km/hr,Metro,1,,,1
T20130014639,Serious,60 km/hr,Metro,,2,,2
T20130014645,Serious,100 km/hr,Country,,2,,2
T20130014646,Minor,60 km/hr,Country,1,,,1
T20130014651,Serious,70 km/hr,Metro,,2,,2
T20130014652,Serious,80 km/hr,Metro,,2,,2
T20130014750,Minor,70 km/hr,Metro,1,,,1
T20130014751,Minor,60 km/hr,Metro,1,,,1
T20130014760,Minor,80 km/hr,Metro,1,,,1
T20130014762,Minor,40 km/hr,Metro,1,,,1
T20130014765,Minor,60 km/hr,Metro,1,,,1
T20130014766,Minor,100 km/hr,Country,1,,,1
T20130014768,Serious,70 km/hr,Metro,,2,,2
T20130014769,Serious,60 km/hr,Metro,,2,,2
T20130014770,Minor,70 km/hr,Metro,1,,,1
T20130014771,Serious,80 km/hr,Metro,,2,,2
T20130014775,Serious,60 km/hr,Metro,,2,,2
T20130014776,Serious,40 km/hr,Metro,,2,,2
T20130014778,Minor,60 km/hr,Country,1,,,1
T20130014892,Minor,100 km/hr,Country,1,,,1
T20130014893,Minor,40 km/hr,Metro,1,,,1
T20130014899,Minor,100 km/hr,Country,1,,,1
T20130014901,Minor,40 km/hr,Metro,1,,,1
T20130014903,Serious,50 km/hr,Country,,2,,2
T20130014904,Minor,60 km/hr,Metro,1,,,1
T20130014905,Serious,60 km/hr,Country,,2,,2
T20130014906,Serious,50 km/hr,Country,,2,,2
T20130014907,Serious,60 km/hr,Metro,,2,,2
T20130014909,Serious,70 km/hr,Metro,,2,,2
T20130014913,Fatal,60 km/hr,Metro,,,3,3
T20130014916,Minor,100 km/hr,Country,1,,,1
T20130014917,Minor,60 km/hr,Metro,1,,,1
T20130014779,Serious,100 km/hr,Country,,2,,2
T20130014782,Minor,60 km/hr,Metro,1,,,1
T20130014783,Minor,50 km/hr,Country,1,,,1
T20130014785,Serious,40 km/hr,Metro,,2,,2
T20130014788,Minor,70 km/hr,Country,1,,,1
T20130014799,Serious,80 km/hr,Metro,,2,,2
T20130014801,Minor,70 km/hr,Metro,1,,,1
T20130014802,Serious,60 km/hr,Metro,,2,,2
T20130014803,Serious,40 km/hr,Metro,,2,,2
T20130014804,Serious,70 km/hr,Country,,2,,2
T20130014805,Minor,80 km/hr,Metro,1,,,1
T20130014806,Minor,70 km/hr,Country,1,,,1
T20130014808,Minor,70 km/hr,Metro,1,,,1
T20130014812,Serious,50 km/hr,Metro,,2,,2
T20130014813,Serious,80 km/hr,Metro,,2,,2
T20130014814,Minor,60 km/hr,Country,1,,,1
T20130014817,Minor,60 km/hr,Metro,1,,,1
T20130014818,Minor,50 km/hr,Metro,1,,,1
T20130014820,Minor,40 km/hr,Metro,1,,,1
T20130014823,Minor,60 km/hr,Metro,1,,,1
T20130014824,Serious,70 km/hr,Metro,,2,,2
T20130014827,Minor,50 km/hr,Metro,1,,,1
T20130014828,Minor,80 km/hr,Metro,1,,,1
T20130014829,Minor,60 km/hr,Metro,1,,,1
T20130014830,Minor,60 km/hr,Metro,1,,,1
T20130014833,Minor,50 km/hr,Metro,1,,,1
T20130014835,Serious,80 km/hr,Metro,,2,,2
T20130014837,Minor,60 km/hr,Country,1,,,1
T20130014838,Minor,100 km/hr,Country,1,,,1
T20130014839,Minor,70 km/hr,Country,1,,,1
T20130014840,Serious,60 km/hr,Metro,,2,,2
T20130014841,Minor,50 km/hr,Country,1,,,1
T20130014842,Serious,60 km/hr,Metro,,2,,2
T20130014847,Serious,50 km/hr,Metro,,2,,2
T20130014848,Minor,60 km/hr,Metro,1,,,1
T20130014853,Serious,40 km/hr,Metro,,2,,2
T20130014854,Serious,60 km/hr,Metro,,2,,2
T20130014861,Minor,80 km/hr,Country,1,,,1
T20130014862,Minor,70 km/hr,Metro,1,,,1
T20130014864,Minor,50 km/hr,Country,1,,,1
